Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Start Date,Winner
"South Africa in India ODI Series, 2015/16",,,,,,,,,,,,,,,
DA Warner (AUS),5,5,0,245,124,49,262,93.51,1,1,0,23,5,17-Sep-17,India
"Australia in India ODI Series, 2017/18",,,,,,,,,,,,,,,
V Kohli (INDIA),5,5,2,244,111*,81.33,262,93.12,1,1,0,19,6,23-Jun-17,India
"India in West Indies ODI Series, 2017",,,,,,,,,,,,,,,
AM Rahane (INDIA),5,5,0,244,70,48.8,295,82.71,0,4,0,29,1,17-Sep-17,India
"Australia in India ODI Series, 2017/18",,,,,,,,,,,,,,,
SPD Smith (AUS),3,3,0,236,164,78.66,240,98.33,1,1,1,20,5,4-Dec-16,Australia
"Chappell-Hadlee Trophy [New Zealand in Australia], 2016/17",,,,,,,,,,,,,,,
KM Jadhav (INDIA),3,3,0,232,120,77.33,161,144.09,1,1,0,27,6,15-Jan-17,India
"England in India ODI Series, 2016/17",,,,,,,,,,,,,,,
GJ Bailey (AUS),5,5,1,227,112,56.75,220,103.18,1,1,0,16,3,12-Jan-16,Australia
"India in Australia ODI Series, 2015/16",,,,,,,,,,,,,,,
SE Marsh (AUS),3,3,0,224,131,74.66,247,90.68,1,1,0,18,3,12-Jan-19,India
"India in Australia ODI Series, 2018/19",,,,,,,,,,,,,,,
HH Pandya (INDIA),5,4,0,222,83,55.5,204,108.82,0,2,0,13,12,17-Sep-17,India
"Australia in India ODI Series, 2017/18",,,,,,,,,,,,,,,
SPD Smith (AUS),5,5,1,221,108*,55.25,256,86.32,1,1,1,19,1,13-Jan-17,Australia
"Pakistan in Australia ODI Series, 2016/17",,,,,,,,,,,,,,,
MP Stoinis (AUS),5,5,0,221,87,44.2,199,111.05,0,3,0,17,8,14-Jan-18,England
"England in Australia ODI Series, 2017/18",,,,,,,,,,,,,,,
DA Warner (AUS),3,3,0,220,122,73.33,215,102.32,1,1,0,22,4,12-Jan-16,Australia
"India in Australia ODI Series, 2015/16",,,,,,,,,,,,,,,
MJ Clarke (AUS),7,6,0,219,74,36.5,228,96.05,0,2,0,25,3,28-Feb-15,Australia
"ICC Cricket World Cup (in Australia/New Zealand), 2014/15",,,,,,,,,,,,,,,
GJ Bailey (AUS),5,5,1,218,75,54.5,285,76.49,0,2,0,19,2,3-Sep-15,Australia
"Australia in England ODI Series, 2015",,,,,,,,,,,,,,,
UT Khawaja (AUS),7,6,0,217,98,36.16,270,80.37,0,2,0,17,4,5-Jun-16,Australia
"West Indies Tri-Nation Series (Australia, South Africa, West Indies), 2016",,,,,,,,,,,,,,,
