Player,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4wh,5wh,Start Date,Winner
NM Lyon (AUS),2,2,18,0,134,1,Jan-76,134,7.44,108,0,0,20-Jan-16,Australia
"India in Australia ODI Series, 2015/16",,,,,,,,,,,,,,
JS Paris (AUS),2,2,16,0,93,1,Jan-40,93,5.81,96,0,0,12-Jan-16,Australia
"India in Australia ODI Series, 2015/16",,,,,,,,,,,,,,
JR Hazlewood (AUS),2,2,20,0,107,1,Jan-51,107,5.35,120,0,0,21-Aug-16,Australia
"Australia in Sri Lanka ODI Series, 2016",,,,,,,,,,,,,,
MC Henriques (AUS),2,2,14,0,88,1,Jan-48,88,6.28,84,0,0,21-Aug-16,Australia
"Australia in Sri Lanka ODI Series, 2016",,,,,,,,,,,,,,
NM Lyon (AUS),1,1,9,0,49,1,Jan-49,49,5.44,54,0,0,24-Aug-16,Australia
"Australia in Sri Lanka ODI Series, 2016",,,,,,,,,,,,,,
MR Marsh (AUS),1,1,8,0,43,1,Jan-43,43,5.37,48,0,0,27-Sep-16,Australia
"Australia v Ireland ODI Match (in South Africa), 2016/17",,,,,,,,,,,,,,
DJ Worrall (AUS),1,1,10,0,43,1,Jan-43,43,4.3,60,0,0,27-Sep-16,Australia
"Australia v Ireland ODI Match (in South Africa), 2016/17",,,,,,,,,,,,,,
TM Head (AUS),5,4,15,0,117,1,31-Jan,117,7.8,90,0,0,30-Sep-16,South Africa
"Australia in South Africa ODI Series, 2016/17",,,,,,,,,,,,,,
DS Kulkarni (INDIA),1,1,7,0,59,1,Jan-59,59,8.42,42,0,0,26-Oct-16,India
"New Zealand in India ODI Series, 2016/17",,,,,,,,,,,,,,
J Yadav (INDIA),1,1,4,0,8,1,8-Jan,8,2,24,0,0,29-Oct-16,India
"New Zealand in India ODI Series, 2016/17",,,,,,,,,,,,,,
MR Marsh (AUS),2,2,12,0,59,1,27-Jan,59,4.91,72,0,0,13-Jan-17,Australia
"Pakistan in Australia ODI Series, 2016/17",,,,,,,,,,,,,,
B Stanlake (AUS),2,2,13,1,68,1,Jan-55,68,5.23,78,0,0,13-Jan-17,Australia
"Pakistan in Australia ODI Series, 2016/17",,,,,,,,,,,,,,
B Kumar (INDIA),2,2,18,1,119,1,Jan-63,119,6.61,108,0,0,19-Jan-17,India
"England in India ODI Series, 2016/17",,,,,,,,,,,,,,
UT Yadav (INDIA),1,1,7,0,63,1,Jan-63,63,9,42,0,0,15-Jan-17,India
"England in India ODI Series, 2016/17",,,,,,,,,,,,,,
TM Head (AUS),2,1,5,0,21,1,21-Jan,21,4.2,30,0,0,30-Jan-17,New Zealand
"Chappell-Hadlee Trophy [Australia in New Zealand], 2016/17",,,,,,,,,,,,,,
R Ashwin (INDIA),3,3,29,0,167,1,Jan-43,167,5.75,174,0,0,11-Jun-17,Pakistan
"ICC Champions Trophy (in England), 2017",,,,,,,,,,,,,,
TM Head (AUS),3,3,14,0,64,1,Jan-33,64,4.57,84,0,0,2-Jun-17,Pakistan
"ICC Champions Trophy (in England), 2017",,,,,,,,,,,,,,
MC Henriques (AUS),3,3,11,0,61,1,30-Jan,61,5.54,66,0,0,2-Jun-17,Pakistan
"ICC Champions Trophy (in England), 2017",,,,,,,,,,,,,,
SN Thakur (INDIA),2,2,13,0,74,1,26-Jan,74,5.69,78,0,0,31-Aug-17,India
"India in Sri Lanka ODI Series, 2017",,,,,,,,,,,,,,
