Player,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4wh,5wh,Start Date,Winner
MS Wade (AUS),1,-,-,-,-,-,-,-,-,-,-,-,27-Aug-15,Australia
"Australia in Ireland ODI Match, 2015",,,,,,,,,,,,,,
DA Warner (AUS),1,-,-,-,-,-,-,-,-,-,-,-,27-Aug-15,Australia
"Australia in Ireland ODI Match, 2015",,,,,,,,,,,,,,
GJ Bailey (AUS),5,-,-,-,-,-,-,-,-,-,-,-,3-Sep-15,Australia
"Australia in England ODI Series, 2015",,,,,,,,,,,,,,
JA Burns (AUS),5,-,-,-,-,-,-,-,-,-,-,-,3-Sep-15,Australia
"Australia in England ODI Series, 2015",,,,,,,,,,,,,,
AJ Finch (AUS),3,-,-,-,-,-,-,-,-,-,-,-,8-Sep-15,Australia
"Australia in England ODI Series, 2015",,,,,,,,,,,,,,
SPD Smith (AUS),5,-,-,-,-,-,-,-,-,-,-,-,3-Sep-15,Australia
"Australia in England ODI Series, 2015",,,,,,,,,,,,,,
MS Wade (AUS),5,-,-,-,-,-,-,-,-,-,-,-,3-Sep-15,Australia
"Australia in England ODI Series, 2015",,,,,,,,,,,,,,
DA Warner (AUS),2,-,-,-,-,-,-,-,-,-,-,-,3-Sep-15,Australia
"Australia in England ODI Series, 2015",,,,,,,,,,,,,,
S Dhawan (INDIA),5,-,-,-,-,-,-,-,-,-,-,-,11-Oct-15,South Africa
"South Africa in India ODI Series, 2015/16",,,,,,,,,,,,,,
MS Dhoni (INDIA),5,-,-,-,-,-,-,-,-,-,-,-,11-Oct-15,South Africa
"South Africa in India ODI Series, 2015/16",,,,,,,,,,,,,,
AM Rahane (INDIA),5,-,-,-,-,-,-,-,-,-,-,-,11-Oct-15,South Africa
"South Africa in India ODI Series, 2015/16",,,,,,,,,,,,,,
RG Sharma (INDIA),5,-,-,-,-,-,-,-,-,-,-,-,11-Oct-15,South Africa
"South Africa in India ODI Series, 2015/16",,,,,,,,,,,,,,
GJ Bailey (AUS),5,-,-,-,-,-,-,-,-,-,-,-,12-Jan-16,Australia
"India in Australia ODI Series, 2015/16",,,,,,,,,,,,,,
S Dhawan (INDIA),5,-,-,-,-,-,-,-,-,-,-,-,12-Jan-16,Australia
"India in Australia ODI Series, 2015/16",,,,,,,,,,,,,,
MS Dhoni (INDIA),5,-,-,-,-,-,-,-,-,-,-,-,12-Jan-16,Australia
"India in Australia ODI Series, 2015/16",,,,,,,,,,,,,,
AJ Finch (AUS),5,-,-,-,-,-,-,-,-,-,-,-,12-Jan-16,Australia
"India in Australia ODI Series, 2015/16",,,,,,,,,,,,,,
SE Marsh (AUS),3,-,-,-,-,-,-,-,-,-,-,-,15-Jan-16,Australia
"India in Australia ODI Series, 2015/16",,,,,,,,,,,,,,
MK Pandey (INDIA),3,-,-,-,-,-,-,-,-,-,-,-,12-Jan-16,Australia
"India in Australia ODI Series, 2015/16",,,,,,,,,,,,,,
AM Rahane (INDIA),4,-,-,-,-,-,-,-,-,-,-,-,12-Jan-16,Australia
"India in Australia ODI Series, 2015/16",,,,,,,,,,,,,,
MS Wade (AUS),5,-,-,-,-,-,-,-,-,-,-,-,12-Jan-16,Australia
"India in Australia ODI Series, 2015/16",,,,,,,,,,,,,,
DA Warner (AUS),3,-,-,-,-,-,-,-,-,-,-,-,12-Jan-16,Australia
"India in Australia ODI Series, 2015/16",,,,,,,,,,,,,,
GJ Bailey (AUS),3,-,-,-,-,-,-,-,-,-,-,-,3-Feb-16,New Zealand
"Chappell-Hadlee Trophy (Australia in New Zealand), 2015/16",,,,,,,,,,,,,,
UT Khawaja (AUS),2,-,-,-,-,-,-,-,-,-,-,-,6-Feb-16,New Zealand
"Chappell-Hadlee Trophy (Australia in New Zealand), 2015/16",,,,,,,,,,,,,,
SE Marsh (AUS),1,-,-,-,-,-,-,-,-,-,-,-,3-Feb-16,New Zealand
"Chappell-Hadlee Trophy (Australia in New Zealand), 2015/16",,,,,,,,,,,,,,
SPD Smith (AUS),3,-,-,-,-,-,-,-,-,-,-,-,3-Feb-16,New Zealand
"Chappell-Hadlee Trophy (Australia in New Zealand), 2015/16",,,,,,,,,,,,,,
MS Wade (AUS),3,-,-,-,-,-,-,-,-,-,-,-,3-Feb-16,New Zealand
"Chappell-Hadlee Trophy (Australia in New Zealand), 2015/16",,,,,,,,,,,,,,
DA Warner (AUS),3,-,-,-,-,-,-,-,-,-,-,-,3-Feb-16,New Zealand
"Chappell-Hadlee Trophy (Australia in New Zealand), 2015/16",,,,,,,,,,,,,,
GJ Bailey (AUS),5,-,-,-,-,-,-,-,-,-,-,-,11-Jun-16,Australia
"West Indies Tri-Nation Series (Australia, South Africa, West Indies), 2016",,,,,,,,,,,,,,
UT Khawaja (AUS),7,-,-,-,-,-,-,-,-,-,-,-,5-Jun-16,Australia
"West Indies Tri-Nation Series (Australia, South Africa, West Indies), 2016",,,,,,,,,,,,,,
SPD Smith (AUS),7,-,-,-,-,-,-,-,-,-,-,-,5-Jun-16,Australia
"West Indies Tri-Nation Series (Australia, South Africa, West Indies), 2016",,,,,,,,,,,,,,
MS Wade (AUS),7,-,-,-,-,-,-,-,-,-,-,-,5-Jun-16,Australia
"West Indies Tri-Nation Series (Australia, South Africa, West Indies), 2016",,,,,,,,,,,,,,
DA Warner (AUS),3,-,-,-,-,-,-,-,-,-,-,-,5-Jun-16,Australia
"West Indies Tri-Nation Series (Australia, South Africa, West Indies), 2016",,,,,,,,,,,,,,
MS Dhoni (INDIA),3,-,-,-,-,-,-,-,-,-,-,-,11-Jun-16,India
"India in Zimbabwe ODI Series, 2016",,,,,,,,,,,,,,
FY Fazal (INDIA),1,-,-,-,-,-,-,-,-,-,-,-,15-Jun-16,India
"India in Zimbabwe ODI Series, 2016",,,,,,,,,,,,,,
KM Jadhav (INDIA),3,-,-,-,-,-,-,-,-,-,-,-,11-Jun-16,India
"India in Zimbabwe ODI Series, 2016",,,,,,,,,,,,,,
KK Nair (INDIA),2,-,-,-,-,-,-,-,-,-,-,-,11-Jun-16,India
"India in Zimbabwe ODI Series, 2016",,,,,,,,,,,,,,
MK Pandey (INDIA),3,-,-,-,-,-,-,-,-,-,-,-,11-Jun-16,India
"India in Zimbabwe ODI Series, 2016",,,,,,,,,,,,,,
KL Rahul (INDIA),3,-,-,-,-,-,-,-,-,-,-,-,11-Jun-16,India
"India in Zimbabwe ODI Series, 2016",,,,,,,,,,,,,,
AT Rayudu (INDIA),3,-,-,-,-,-,-,-,-,-,-,-,11-Jun-16,India
"India in Zimbabwe ODI Series, 2016",,,,,,,,,,,,,,
GJ Bailey (AUS),5,-,-,-,-,-,-,-,-,-,-,-,21-Aug-16,Australia
"Australia in Sri Lanka ODI Series, 2016",,,,,,,,,,,,,,
UT Khawaja (AUS),2,-,-,-,-,-,-,-,-,-,-,-,31-Aug-16,Australia
"Australia in Sri Lanka ODI Series, 2016",,,,,,,,,,,,,,
SE Marsh (AUS),1,-,-,-,-,-,-,-,-,-,-,-,28-Aug-16,Australia
"Australia in Sri Lanka ODI Series, 2016",,,,,,,,,,,,,,
SPD Smith (AUS),2,-,-,-,-,-,-,-,-,-,-,-,21-Aug-16,Australia
"Australia in Sri Lanka ODI Series, 2016",,,,,,,,,,,,,,
