Player,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4wh,5wh,Start Date,Winner
MS Wade (AUS),5,-,-,-,-,-,-,-,-,-,-,-,21-Aug-16,Australia
"Australia in Sri Lanka ODI Series, 2016",,,,,,,,,,,,,,
DA Warner (AUS),5,-,-,-,-,-,-,-,-,-,-,-,21-Aug-16,Australia
"Australia in Sri Lanka ODI Series, 2016",,,,,,,,,,,,,,
GJ Bailey (AUS),1,-,-,-,-,-,-,-,-,-,-,-,27-Sep-16,Australia
"Australia v Ireland ODI Match (in South Africa), 2016/17",,,,,,,,,,,,,,
TM Head (AUS),1,-,-,-,-,-,-,-,-,-,-,-,27-Sep-16,Australia
"Australia v Ireland ODI Match (in South Africa), 2016/17",,,,,,,,,,,,,,
UT Khawaja (AUS),1,-,-,-,-,-,-,-,-,-,-,-,27-Sep-16,Australia
"Australia v Ireland ODI Match (in South Africa), 2016/17",,,,,,,,,,,,,,
SPD Smith (AUS),1,-,-,-,-,-,-,-,-,-,-,-,27-Sep-16,Australia
"Australia v Ireland ODI Match (in South Africa), 2016/17",,,,,,,,,,,,,,
MS Wade (AUS),1,-,-,-,-,-,-,-,-,-,-,-,27-Sep-16,Australia
"Australia v Ireland ODI Match (in South Africa), 2016/17",,,,,,,,,,,,,,
DA Warner (AUS),1,-,-,-,-,-,-,-,-,-,-,-,27-Sep-16,Australia
"Australia v Ireland ODI Match (in South Africa), 2016/17",,,,,,,,,,,,,,
GJ Bailey (AUS),5,-,-,-,-,-,-,-,-,-,-,-,30-Sep-16,South Africa
"Australia in South Africa ODI Series, 2016/17",,,,,,,,,,,,,,
AJ Finch (AUS),5,-,-,-,-,-,-,-,-,-,-,-,30-Sep-16,South Africa
"Australia in South Africa ODI Series, 2016/17",,,,,,,,,,,,,,
SPD Smith (AUS),5,-,-,-,-,-,-,-,-,-,-,-,30-Sep-16,South Africa
"Australia in South Africa ODI Series, 2016/17",,,,,,,,,,,,,,
MS Wade (AUS),5,-,-,-,-,-,-,-,-,-,-,-,30-Sep-16,South Africa
"Australia in South Africa ODI Series, 2016/17",,,,,,,,,,,,,,
DA Warner (AUS),5,-,-,-,-,-,-,-,-,-,-,-,30-Sep-16,South Africa
"Australia in South Africa ODI Series, 2016/17",,,,,,,,,,,,,,
MS Dhoni (INDIA),5,-,-,-,-,-,-,-,-,-,-,-,16-Oct-16,India
"New Zealand in India ODI Series, 2016/17",,,,,,,,,,,,,,
V Kohli (INDIA),5,-,-,-,-,-,-,-,-,-,-,-,16-Oct-16,India
"New Zealand in India ODI Series, 2016/17",,,,,,,,,,,,,,
MK Pandey (INDIA),5,-,-,-,-,-,-,-,-,-,-,-,16-Oct-16,India
"New Zealand in India ODI Series, 2016/17",,,,,,,,,,,,,,
AM Rahane (INDIA),5,-,-,-,-,-,-,-,-,-,-,-,16-Oct-16,India
"New Zealand in India ODI Series, 2016/17",,,,,,,,,,,,,,
RG Sharma (INDIA),5,-,-,-,-,-,-,-,-,-,-,-,16-Oct-16,India
"New Zealand in India ODI Series, 2016/17",,,,,,,,,,,,,,
GJ Bailey (AUS),3,-,-,-,-,-,-,-,-,-,-,-,04-Dec-16,Australia
"Chappell-Hadlee Trophy [New Zealand in Australia], 2016/17",,,,,,,,,,,,,,
AJ Finch (AUS),3,-,-,-,-,-,-,-,-,-,-,-,04-Dec-16,Australia
"Chappell-Hadlee Trophy [New Zealand in Australia], 2016/17",,,,,,,,,,,,,,
SPD Smith (AUS),3,-,-,-,-,-,-,-,-,-,-,-,04-Dec-16,Australia
"Chappell-Hadlee Trophy [New Zealand in Australia], 2016/17",,,,,,,,,,,,,,
MS Wade (AUS),3,-,-,-,-,-,-,-,-,-,-,-,04-Dec-16,Australia
"Chappell-Hadlee Trophy [New Zealand in Australia], 2016/17",,,,,,,,,,,,,,
DA Warner (AUS),3,-,-,-,-,-,-,-,-,-,-,-,04-Dec-16,Australia
"Chappell-Hadlee Trophy [New Zealand in Australia], 2016/17",,,,,,,,,,,,,,
PSP Handscomb (AUS),3,-,-,-,-,-,-,-,-,-,-,-,19-Jan-17,Australia
"Pakistan in Australia ODI Series, 2016/17",,,,,,,,,,,,,,
UT Khawaja (AUS),3,-,-,-,-,-,-,-,-,-,-,-,15-Jan-17,Australia
"Pakistan in Australia ODI Series, 2016/17",,,,,,,,,,,,,,
CA Lynn (AUS),1,-,-,-,-,-,-,-,-,-,-,-,13-Jan-17,Australia
"Pakistan in Australia ODI Series, 2016/17",,,,,,,,,,,,,,
GJ Maxwell (AUS),5,-,-,-,-,-,-,-,-,-,-,-,13-Jan-17,Australia
"Pakistan in Australia ODI Series, 2016/17",,,,,,,,,,,,,,
