Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Start Date,Winner
B Kumar (INDIA),5,1,1,1,1*,-,8,12.5,0,0,0,0,0,4-Jun-17,Pakistan
"ICC Champions Trophy (in England), 2017",,,,,,,,,,,,,,,
Mohammed Shami (INDIA),2,1,0,1,1,1,2,50,0,0,0,0,0,2-Jul-17,India
"India in West Indies ODI Series, 2017",,,,,,,,,,,,,,,
YS Chahal (INDIA),4,1,0,1,1,1,2,50,0,0,0,0,0,17-Sep-17,India
"Australia in India ODI Series, 2017/18",,,,,,,,,,,,,,,
KM Jadhav (INDIA),3,1,0,1,1,1,3,33.33,0,0,0,0,0,1-Feb-18,India
"India in South Africa ODI Series, 2017/18",,,,,,,,,,,,,,,
S Kaul (INDIA),2,1,0,1,1,1,2,50,0,0,0,0,0,12-Jul-18,England
"India in England ODI Series, 2018",,,,,,,,,,,,,,,
KK Ahmed (INDIA),2,1,1,1,1*,-,1,100,0,0,0,0,0,18-Sep-18,India
"Asia Cup (Afghanistan, Bangladesh, Hong Kong, India, Pakistan, Sri Lanka in United Arab Emirates), 2018",,,,,,,,,,,,,,,
JP Behrendorff (AUS),2,1,1,1,1*,-,1,100,0,0,0,0,0,12-Jan-19,India
"India in Australia ODI Series, 2018/19",,,,,,,,,,,,,,,
Mohammed Shami (INDIA),3,1,0,1,1,1,2,50,0,0,0,0,0,12-Jan-19,India
"India in Australia ODI Series, 2018/19",,,,,,,,,,,,,,,
Mohammed Shami (INDIA),4,1,0,1,1,1,1,100,0,0,0,0,0,23-Jan-19,India
"India in New Zealand ODI Series, 2018/19",,,,,,,,,,,,,,,
XJ Doherty (AUS),1,1,1,0,0*,-,1,0,0,0,0,0,0,8-Mar-15,Australia
"ICC Cricket World Cup (in Australia/New Zealand), 2014/15",,,,,,,,,,,,,,,
MM Sharma (INDIA),6,1,0,0,0,0,1,0,0,0,1,0,0,28-Feb-15,Australia
"ICC Cricket World Cup (in Australia/New Zealand), 2014/15",,,,,,,,,,,,,,,
MA Starc (AUS),7,2,0,0,0,0,3,0,0,0,2,0,0,28-Feb-15,Australia
"ICC Cricket World Cup (in Australia/New Zealand), 2014/15",,,,,,,,,,,,,,,
UT Yadav (INDIA),6,1,0,0,0,0,5,0,0,0,1,0,0,28-Feb-15,Australia
"ICC Cricket World Cup (in Australia/New Zealand), 2014/15",,,,,,,,,,,,,,,
MR Marsh (AUS),1,1,0,0,0,0,2,0,0,0,1,0,0,28-Feb-15,New Zealand
"Chappell-Hadlee Trophy (Australia in New Zealand), 2014/15",,,,,,,,,,,,,,,
MA Starc (AUS),1,1,0,0,0,0,3,0,0,0,1,0,0,28-Feb-15,New Zealand
"Chappell-Hadlee Trophy (Australia in New Zealand), 2014/15",,,,,,,,,,,,,,,
B Kumar (INDIA),3,1,1,0,0*,-,0,-,0,0,0,0,0,10-Jul-15,India
"India in Zimbabwe ODI Series, 2015",,,,,,,,,,,,,,,
NM Coulter-Nile (AUS),2,1,1,0,0*,-,0,-,0,0,0,0,0,3-Sep-15,Australia
"Australia in England ODI Series, 2015",,,,,,,,,,,,,,,
MM Sharma (INDIA),4,2,2,0,0*,-,5,0,0,0,0,0,0,14-Oct-15,South Africa
"South Africa in India ODI Series, 2015/16",,,,,,,,,,,,,,,
I Sharma (INDIA),4,1,0,0,0,0,3,0,0,0,1,0,0,15-Jan-16,Australia
"India in Australia ODI Series, 2015/16",,,,,,,,,,,,,,,
JJ Bumrah (INDIA),4,1,0,0,0,0,1,0,0,0,1,0,0,16-Oct-16,India
"New Zealand in India ODI Series, 2016/17",,,,,,,,,,,,,,,
PJ Cummins (AUS),3,1,1,0,0*,-,1,0,0,0,0,0,0,4-Dec-16,Australia
"Chappell-Hadlee Trophy [New Zealand in Australia], 2016/17",,,,,,,,,,,,,,,
JR Hazlewood (AUS),4,1,1,0,0*,-,3,0,0,0,0,0,0,15-Jan-17,Australia
"Pakistan in Australia ODI Series, 2016/17",,,,,,,,,,,,,,,
JJ Bumrah (INDIA),3,1,1,0,0*,-,0,-,0,0,0,0,0,15-Jan-17,India
"England in India ODI Series, 2016/17",,,,,,,,,,,,,,,
B Kumar (INDIA),2,1,1,0,0*,-,1,0,0,0,0,0,0,19-Jan-17,India
"England in India ODI Series, 2016/17",,,,,,,,,,,,,,,
MA Starc (AUS),3,1,0,0,0,0,3,0,0,0,1,0,0,2-Jun-17,Pakistan
"ICC Champions Trophy (in England), 2017",,,,,,,,,,,,,,,
A Zampa (AUS),2,1,0,0,0,0,3,0,0,0,1,0,0,5-Jun-17,Pakistan
"ICC Champions Trophy (in England), 2017",,,,,,,,,,,,,,,
UT Yadav (INDIA),5,1,0,0,0,0,1,0,0,0,1,0,0,23-Jun-17,India
"India in West Indies ODI Series, 2017",,,,,,,,,,,,,,,
Kuldeep Yadav (INDIA),4,2,1,0,0*,0,2,0,0,0,1,0,0,17-Sep-17,India
"Australia in India ODI Series, 2017/18",,,,,,,,,,,,,,,
KW Richardson (AUS),3,1,0,0,0,0,7,0,0,0,1,0,0,21-Sep-17,India
"Australia in India ODI Series, 2017/18",,,,,,,,,,,,,,,
Kuldeep Yadav (INDIA),1,1,1,0,0*,-,0,-,0,0,0,0,0,22-Oct-17,India
"New Zealand in India ODI Series, 2017/18",,,,,,,,,,,,,,,
JJ Bumrah (INDIA),3,1,0,0,0,0,15,0,0,0,1,0,0,10-Dec-17,India
"Sri Lanka in India ODI Series, 2017/18",,,,,,,,,,,,,,,
YS Chahal (INDIA),3,1,1,0,0*,-,9,0,0,0,0,0,0,10-Dec-17,India
"Sri Lanka in India ODI Series, 2017/18",,,,,,,,,,,,,,,
B Kumar (INDIA),3,1,0,0,0,0,5,0,0,0,1,0,0,10-Dec-17,India
"Sri Lanka in India ODI Series, 2017/18",,,,,,,,,,,,,,,
JR Hazlewood (AUS),3,1,1,0,0*,-,3,0,0,0,0,0,0,21-Jan-18,England
"England in Australia ODI Series, 2017/18",,,,,,,,,,,,,,,
UT Yadav (INDIA),2,1,0,0,0,0,2,0,0,0,1,0,0,12-Jul-18,England
"India in England ODI Series, 2018",,,,,,,,,,,,,,,
S Kaul (INDIA),1,1,0,0,0,0,1,0,0,0,1,0,0,25-Sep-18,India
"Asia Cup (Afghanistan, Bangladesh, Hong Kong, India, Pakistan, Sri Lanka in United Arab Emirates), 2018",,,,,,,,,,,,,,,
SN Thakur (INDIA),1,1,0,0,0,0,3,0,0,0,1,0,0,18-Sep-18,India
"Asia Cup (Afghanistan, Bangladesh, Hong Kong, India, Pakistan, Sri Lanka in United Arab Emirates), 2018",,,,,,,,,,,,,,,
JJ Bumrah (INDIA),3,1,0,0,0,0,3,0,0,0,1,0,0,27-Oct-18,India
"West Indies in India ODI Series, 2018/19",,,,,,,,,,,,,,,
Mohammed Shami (INDIA),2,1,1,0,0*,-,1,0,0,0,0,0,0,21-Oct-18,India
"West Indies in India ODI Series, 2018/19",,,,,,,,,,,,,,,
DJM Short (AUS),1,1,0,0,0,0,2,0,0,0,1,0,0,4-Nov-18,South Africa
"South Africa in Australia ODI Series, 2018/19",,,,,,,,,,,,,,,
B Stanlake (AUS),1,1,0,0,0,0,2,0,0,0,1,0,0,18-Jan-19,India
"India in Australia ODI Series, 2018/19",,,,,,,,,,,,,,,
JR Hazlewood (AUS),4,-,-,-,-,-,-,-,-,-,-,-,-,4-Mar-15,Australia
"ICC Cricket World Cup (in Australia/New Zealand), 2014/15",,,,,,,,,,,,,,,
B Kumar (INDIA),1,-,-,-,-,-,-,-,-,-,-,-,-,28-Feb-15,Australia
"ICC Cricket World Cup (in Australia/New Zealand), 2014/15",,,,,,,,,,,,,,,
DS Kulkarni (INDIA),2,-,-,-,-,-,-,-,-,-,-,-,-,10-Jul-15,India
"India in Zimbabwe ODI Series, 2015",,,,,,,,,,,,,,,
MM Sharma (INDIA),1,-,-,-,-,-,-,-,-,-,-,-,-,14-Jul-15,India
"India in Zimbabwe ODI Series, 2015",,,,,,,,,,,,,,,
NM Coulter-Nile (AUS),1,-,-,-,-,-,-,-,-,-,-,-,-,27-Aug-15,Australia
"Australia in Ireland ODI Match, 2015",,,,,,,,,,,,,,,
