Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Start Date,Winner
SPD Smith (AUS),1,1,1,59,59*,-,74,79.72,0,1,0,6,1,27-Sep-16,Australia
"Australia v Ireland ODI Match (in South Africa), 2016/17",,,,,,,,,,,,,,,
PSP Handscomb (AUS),3,3,0,59,43,19.66,54,109.25,0,0,0,3,1,24-Sep-17,India
"Australia in India ODI Series, 2017/18",,,,,,,,,,,,,,,
CA Lynn (AUS),3,3,0,59,44,19.66,77,76.62,0,0,1,5,2,4-Nov-18,South Africa
"South Africa in Australia ODI Series, 2018/19",,,,,,,,,,,,,,,
TM Head (AUS),2,2,0,58,53,29,87,66.66,0,1,0,6,0,30-Jan-17,New Zealand
"Chappell-Hadlee Trophy [Australia in New Zealand], 2016/17",,,,,,,,,,,,,,,
GJ Maxwell (AUS),3,3,0,58,39,19.33,49,118.36,0,0,0,3,6,17-Sep-17,India
"Australia in India ODI Series, 2017/18",,,,,,,,,,,,,,,
Yuvraj Singh (INDIA),3,3,0,57,39,19,75,76,0,0,0,5,0,23-Jun-17,India
"India in West Indies ODI Series, 2017",,,,,,,,,,,,,,,
AJ Finch (AUS),3,3,0,57,41,19,95,60,0,0,0,5,0,4-Nov-18,South Africa
"South Africa in Australia ODI Series, 2018/19",,,,,,,,,,,,,,,
KM Jadhav (INDIA),5,3,1,57,34,28.5,62,91.93,0,0,0,6,1,23-Jan-19,India
"India in New Zealand ODI Series, 2018/19",,,,,,,,,,,,,,,
MS Wade (AUS),3,3,0,56,37,18.66,73,76.71,0,0,0,4,2,3-Feb-16,New Zealand
"Chappell-Hadlee Trophy (Australia in New Zealand), 2015/16",,,,,,,,,,,,,,,
UT Khawaja (AUS),3,3,0,56,30,18.66,90,62.22,0,0,0,5,0,15-Jan-17,Australia
"Pakistan in Australia ODI Series, 2016/17",,,,,,,,,,,,,,,
FY Fazal (INDIA),1,1,1,55,55*,-,61,90.16,0,1,0,7,1,15-Jun-16,India
"India in Zimbabwe ODI Series, 2016",,,,,,,,,,,,,,,
S Dhawan (INDIA),3,3,0,55,32,18.33,75,73.33,0,0,1,5,0,12-Jan-19,India
"India in Australia ODI Series, 2018/19",,,,,,,,,,,,,,,
HH Pandya (INDIA),3,3,0,54,30,18,53,101.88,0,0,0,4,2,22-Oct-17,India
"New Zealand in India ODI Series, 2017/18",,,,,,,,,,,,,,,
GJ Maxwell (AUS),5,4,1,53,46*,17.66,39,135.89,0,0,1,6,2,5-Jun-16,Australia
"West Indies Tri-Nation Series (Australia, South Africa, West Indies), 2016",,,,,,,,,,,,,,,
B Kumar (INDIA),4,1,1,53,53*,-,80,66.25,0,1,0,4,1,20-Aug-17,India
"India in Sri Lanka ODI Series, 2017",,,,,,,,,,,,,,,
RA Jadeja (INDIA),6,3,1,52,23*,26,50,104,0,0,0,8,0,28-Feb-15,Australia
"ICC Cricket World Cup (in Australia/New Zealand), 2014/15",,,,,,,,,,,,,,,
KD Karthik (INDIA),2,2,1,52,50*,52,71,73.23,0,1,0,5,0,2-Jul-17,India
"India in West Indies ODI Series, 2017",,,,,,,,,,,,,,,
B Kumar (INDIA),4,2,1,52,32*,52,63,82.53,0,0,0,6,0,17-Sep-17,India
"Australia in India ODI Series, 2017/18",,,,,,,,,,,,,,,
RA Jadeja (INDIA),2,2,0,51,32,25.5,68,75,0,0,0,3,0,18-Jun-15,Bangladesh
"India in Bangladesh ODI Series, 2015",,,,,,,,,,,,,,,
AT Carey (AUS),2,2,0,50,44,25,45,111.11,0,0,0,6,1,21-Jun-18,England
"Australia in England ODI Series, 2018",,,,,,,,,,,,,,,
MS Dhoni (INDIA),5,3,0,50,23,16.66,51,98.03,0,0,0,2,1,21-Oct-18,India
"West Indies in India ODI Series, 2018/19",,,,,,,,,,,,,,,
V Kohli (INDIA),3,3,0,49,25,16.33,66,74.24,0,0,0,4,1,18-Jun-15,Bangladesh
"India in Bangladesh ODI Series, 2015",,,,,,,,,,,,,,,
MS Dhoni (INDIA),3,2,1,49,48*,49,39,125.64,0,0,0,5,1,23-Jan-19,India
"India in New Zealand ODI Series, 2018/19",,,,,,,,,,,,,,,
DA Warner (AUS),1,1,0,48,48,48,30,160,0,0,0,5,2,27-Sep-16,Australia
"Australia v Ireland ODI Match (in South Africa), 2016/17",,,,,,,,,,,,,,,
SS Iyer (INDIA),3,2,0,48,30,24,58,82.75,0,0,0,4,0,10-Feb-18,India
"India in South Africa ODI Series, 2017/18",,,,,,,,,,,,,,,
RA Jadeja (INDIA),4,2,0,48,25,24,67,71.64,0,0,0,2,0,21-Sep-18,India
"Asia Cup (Afghanistan, Bangladesh, Hong Kong, India, Pakistan, Sri Lanka in United Arab Emirates), 2018",,,,,,,,,,,,,,,
SK Raina (INDIA),3,2,0,47,46,23.5,67,70.14,0,0,0,1,0,12-Jul-18,England
"India in England ODI Series, 2018",,,,,,,,,,,,,,,
AT Carey (AUS),3,3,0,47,24,15.66,69,68.11,0,0,0,8,0,12-Jan-19,India
"India in Australia ODI Series, 2018/19",,,,,,,,,,,,,,,
KK Nair (INDIA),2,2,0,46,39,23,88,52.27,0,0,0,6,0,11-Jun-16,India
"India in Zimbabwe ODI Series, 2016",,,,,,,,,,,,,,,
SR Watson (AUS),2,2,0,45,39,22.5,49,91.83,0,0,0,1,2,3-Sep-15,Australia
"Australia in England ODI Series, 2015",,,,,,,,,,,,,,,
RA Jadeja (INDIA),5,4,3,45,24*,45,42,107.14,0,0,0,2,0,12-Jan-16,Australia
"India in Australia ODI Series, 2015/16",,,,,,,,,,,,,,,
HH Pandya (INDIA),4,2,0,45,36,22.5,45,100,0,0,0,3,0,16-Oct-16,India
"New Zealand in India ODI Series, 2016/17",,,,,,,,,,,,,,,
V Shankar (INDIA),3,1,0,45,45,45,64,70.31,0,0,0,4,0,23-Jan-19,India
"India in New Zealand ODI Series, 2018/19",,,,,,,,,,,,,,,
JP Faulkner (AUS),6,4,1,44,21,14.66,25,176,0,0,1,6,2,4-Mar-15,Australia
"ICC Cricket World Cup (in Australia/New Zealand), 2014/15",,,,,,,,,,,,,,,
AT Rayudu (INDIA),2,2,0,44,44,22,52,84.61,0,0,1,3,0,21-Jun-15,Bangladesh
"India in Bangladesh ODI Series, 2015",,,,,,,,,,,,,,,
RV Uthappa (INDIA),3,3,0,44,31,14.66,58,75.86,0,0,1,4,0,10-Jul-15,India
"India in Zimbabwe ODI Series, 2015",,,,,,,,,,,,,,,
JP Faulkner (AUS),2,2,1,44,32*,44,42,104.76,0,0,0,1,1,17-Sep-17,India
"Australia in India ODI Series, 2017/18",,,,,,,,,,,,,,,
BJ Haddin (AUS),1,1,0,43,43,43,41,104.87,0,0,0,4,2,28-Feb-15,New Zealand
"Chappell-Hadlee Trophy (Australia in New Zealand), 2014/15",,,,,,,,,,,,,,,
Harbhajan Singh (INDIA),4,4,1,42,22,14,44,95.45,0,0,2,3,1,14-Oct-15,South Africa
"South Africa in India ODI Series, 2015/16",,,,,,,,,,,,,,,
MS Wade (AUS),5,3,0,42,36,14,39,107.69,0,0,1,2,1,12-Jan-16,Australia
"India in Australia ODI Series, 2015/16",,,,,,,,,,,,,,,
JP Faulkner (AUS),4,3,1,42,19,21,45,93.33,0,0,0,4,0,13-Jan-17,Australia
"Pakistan in Australia ODI Series, 2016/17",,,,,,,,,,,,,,,
HH Pandya (INDIA),3,2,0,42,21,21,43,97.67,0,0,0,3,0,12-Jul-18,England
"India in England ODI Series, 2018",,,,,,,,,,,,,,,
SPD Smith (AUS),3,3,0,41,21,13.66,64,64.06,0,0,0,4,0,3-Feb-16,New Zealand
"Chappell-Hadlee Trophy (Australia in New Zealand), 2015/16",,,,,,,,,,,,,,,
RR Pant (INDIA),3,2,0,41,24,20.5,31,132.25,0,0,0,5,1,21-Oct-18,India
"West Indies in India ODI Series, 2018/19",,,,,,,,,,,,,,,
GJ Bailey (AUS),3,3,1,40,23,20,77,51.94,0,0,0,1,1,4-Dec-16,Australia
"Chappell-Hadlee Trophy [New Zealand in Australia], 2016/17",,,,,,,,,,,,,,,
B Kumar (INDIA),5,3,2,40,19*,40,46,86.95,0,0,0,3,0,1-Feb-18,India
"India in South Africa ODI Series, 2017/18",,,,,,,,,,,,,,,
RA Jadeja (INDIA),3,3,1,39,16*,19.5,29,134.48,0,0,0,5,1,15-Jan-17,India
"England in India ODI Series, 2016/17",,,,,,,,,,,,,,,
SE Marsh (AUS),2,2,0,38,22,19,43,88.37,0,0,0,7,0,30-Jan-17,New Zealand
"Chappell-Hadlee Trophy [Australia in New Zealand], 2016/17",,,,,,,,,,,,,,,
KD Karthik (INDIA),2,2,1,38,38*,38,41,92.68,0,0,1,5,1,28-Jan-19,India
"India in New Zealand ODI Series, 2018/19",,,,,,,,,,,,,,,
AR Patel (INDIA),4,4,2,37,15*,18.5,50,74,0,0,0,0,2,14-Oct-15,South Africa
"South Africa in India ODI Series, 2015/16",,,,,,,,,,,,,,,
KD Karthik (INDIA),3,2,1,37,25*,37,35,105.71,0,0,0,2,0,12-Jan-19,India
"India in Australia ODI Series, 2018/19",,,,,,,,,,,,,,,
JP Faulkner (AUS),1,1,0,36,36,36,33,109.09,0,0,0,6,0,3-Feb-16,New Zealand
"Chappell-Hadlee Trophy (Australia in New Zealand), 2015/16",,,,,,,,,,,,,,,
TD Paine (AUS),5,5,0,36,15,7.2,46,78.26,0,0,0,2,0,13-Jun-18,England
"Australia in England ODI Series, 2018",,,,,,,,,,,,,,,
GJ Bailey (AUS),3,3,0,35,33,11.66,71,49.29,0,0,1,3,0,3-Feb-16,New Zealand
"Chappell-Hadlee Trophy (Australia in New Zealand), 2015/16",,,,,,,,,,,,,,,
MC Henriques (AUS),3,2,0,35,18,17.5,33,106.06,0,0,0,7,0,2-Jun-17,Pakistan
"ICC Champions Trophy (in England), 2017",,,,,,,,,,,,,,,
CL White (AUS),3,3,1,35,17,17.5,53,66.03,0,0,0,3,0,19-Jan-18,England
"England in Australia ODI Series, 2017/18",,,,,,,,,,,,,,,
DA Warner (AUS),1,1,0,34,34,34,42,80.95,0,0,0,2,1,28-Feb-15,New Zealand
"Chappell-Hadlee Trophy (Australia in New Zealand), 2014/15",,,,,,,,,,,,,,,
MK Tiwary (INDIA),3,3,0,34,22,11.33,73,46.57,0,0,0,0,1,10-Jul-15,India
"India in Zimbabwe ODI Series, 2015",,,,,,,,,,,,,,,
JW Hastings (AUS),2,1,1,34,34*,-,26,130.76,0,0,0,3,2,11-Sep-15,Australia
"Australia in England ODI Series, 2015",,,,,,,,,,,,,,,
KM Jadhav (INDIA),5,2,1,34,25*,34,26,130.76,0,0,0,5,1,4-Jun-17,Pakistan
"ICC Champions Trophy (in England), 2017",,,,,,,,,,,,,,,
MS Wade (AUS),4,4,1,34,20,11.33,39,87.17,0,0,0,1,1,17-Sep-17,India
"Australia in India ODI Series, 2017/18",,,,,,,,,,,,,,,
GJ Maxwell (AUS),1,1,0,34,34,34,39,87.17,0,0,0,3,1,28-Jan-18,England
"England in Australia ODI Series, 2017/18",,,,,,,,,,,,,,,
AJ Tye (AUS),3,3,1,34,19,17,31,109.67,0,0,0,3,1,13-Jun-18,England
"Australia in England ODI Series, 2018",,,,,,,,,,,,,,,
NM Coulter-Nile (AUS),1,1,0,34,34,34,31,109.67,0,0,0,5,1,4-Nov-18,South Africa
"South Africa in Australia ODI Series, 2018/19",,,,,,,,,,,,,,,
MA Starc (AUS),2,2,1,32,29*,32,26,123.07,0,0,0,2,2,30-Jan-17,New Zealand
"Chappell-Hadlee Trophy [Australia in New Zealand], 2016/17",,,,,,,,,,,,,,,
MG Johnson (AUS),7,3,2,31,27*,31,19,163.15,0,0,0,4,1,28-Feb-15,Australia
"ICC Cricket World Cup (in Australia/New Zealand), 2014/15",,,,,,,,,,,,,,,
A Zampa (AUS),5,4,1,31,12,10.33,42,73.8,0,0,0,2,1,30-Sep-16,South Africa
"Australia in South Africa ODI Series, 2016/17",,,,,,,,,,,,,,,
NM Lyon (AUS),2,1,0,30,30,30,31,96.77,0,0,0,4,0,5-Jun-16,Australia
"West Indies Tri-Nation Series (Australia, South Africa, West Indies), 2016",,,,,,,,,,,,,,,
JP Faulkner (AUS),5,4,2,30,13,15,53,56.6,0,0,0,1,0,21-Aug-16,Australia
"Australia in Sri Lanka ODI Series, 2016",,,,,,,,,,,,,,,
KM Jadhav (INDIA),3,2,0,30,18,15,35,85.71,0,0,0,2,1,22-Oct-17,India
"New Zealand in India ODI Series, 2017/18",,,,,,,,,,,,,,,
B Kumar (INDIA),5,2,0,30,21,15,49,61.22,0,0,0,1,1,18-Sep-18,India
"Asia Cup (Afghanistan, Bangladesh, Hong Kong, India, Pakistan, Sri Lanka in United Arab Emirates), 2018",,,,,,,,,,,,,,,
B Kumar (INDIA),3,1,1,29,29*,-,23,126.08,0,0,0,4,0,12-Jan-19,India
"India in Australia ODI Series, 2018/19",,,,,,,,,,,,,,,
B Kumar (INDIA),2,2,1,28,25*,28,31,90.32,0,0,0,2,1,18-Jun-15,Bangladesh
"India in Bangladesh ODI Series, 2015",,,,,,,,,,,,,,,
KL Rahul (INDIA),4,3,0,28,17,9.33,38,73.68,0,0,0,2,0,20-Aug-17,India
"India in Sri Lanka ODI Series, 2017",,,,,,,,,,,,,,,
AT Carey (AUS),1,1,0,27,27,27,24,112.5,0,0,0,4,0,19-Jan-18,England
"England in Australia ODI Series, 2017/18",,,,,,,,,,,,,,,
SR Watson (AUS),1,1,1,26,26*,-,25,104,0,0,0,1,1,27-Aug-15,Australia
"Australia in Ireland ODI Match, 2015",,,,,,,,,,,,,,,
B Kumar (INDIA),3,1,0,26,26,26,15,173.33,0,0,0,2,2,22-Oct-17,India
"New Zealand in India ODI Series, 2017/18",,,,,,,,,,,,,,,
KD Karthik (INDIA),3,2,1,26,26*,26,49,53.06,0,0,1,3,0,10-Dec-17,India
"Sri Lanka in India ODI Series, 2017/18",,,,,,,,,,,,,,,
HH Pandya (INDIA),6,4,1,26,14,8.66,35,74.28,0,0,1,1,1,1-Feb-18,India
